"species","country","gear","landings","prop","area"
"DPS","Italy","OTB",1325.09,0.992,"8_9_10_11"
"HKE","France","OTB",15.9803333333333,0.013,"8_9_10_11"
"HKE","Italy","GNS",339.249,0.273,"8_9_10_11"
"HKE","Italy","GTR",94.8643333333333,0.076,"8_9_10_11"
"HKE","Italy","LLS",167.601666666667,0.135,"8_9_10_11"
"HKE","Italy","OTB",616.165666666667,0.496,"8_9_10_11"
"MUT","Italy","GNS",10.9696666666667,0.017,"9"
"MUT","Italy","GTR",19.3046666666667,0.03,"9"
"MUT","Italy","OTB",600.645,0.948,"9"
"NEP","Italy","OTB",93.1356666666667,0.999,"9"
"ARS","Italy","OTB",265.116,0.998,"9_10_11"
"MUT","Italy","GNS",10.7905,0.04,"10"
"MUT","Italy","GTR",31.7325,0.117,"10"
"MUT","Italy","OTB",226.4325,0.837,"10"
"SOL","Croatia","DRB",40.8043333333333,0.026,"17"
"SOL","Croatia","GTR",114.21,0.074,"17"
"SOL","Italy","GNS",159.2985,0.103,"17"
"SOL","Italy","GTR",39.8975,0.026,"17"
"SOL","Italy","OTB",1155.837,0.746,"17"
"HKE","Croatia","GNS",91.1676666666667,0.022,"17_18"
"HKE","Croatia","LLS",152.989666666667,0.037,"17_18"
"HKE","Croatia","OTB",896.973,0.216,"17_18"
"HKE","Italy","LLS",225.666,0.054,"17_18"
"HKE","Italy","OTB",2769.0885,0.666,"17_18"
"MUT","Croatia","OTB",708.985666666667,0.257,"17_18"
"MUT","Italy","GNS",52.105,0.019,"17_18"
"MUT","Italy","OTB",1962.827,0.712,"17_18"
"DPS","Croatia","OTB",719.206,0.184,"17_18_19_20"
"DPS","Italy","OTB",3134.9995,0.804,"17_18_19_20"
"HKE","Italy","GNS",26.319,0.043,"19"
"HKE","Italy","GTR",26.7195,0.043,"19"
"HKE","Italy","LLS",115.5905,0.187,"19"
"HKE","Italy","OTB",447.5405,0.726,"19"
"MUT","Italy","GNS",34.0605,0.15,"19"
"MUT","Italy","GTR",47.319,0.209,"19"
"MUT","Italy","OTB",145.3455,0.641,"19"
"ARS","Greece","OTB",26.2626666666667,0.078,"18_19_20"
"ARS","Italy","OTB",306.4965,0.909,"18_19_20"
